Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2018-12-03,44.5,49.25,44.1,48.2,47.85,26696990.0,12588.85
2018-12-04,48.65,52.45,48.6,50.2,50.45,26100305.0,13315.45
2018-12-05,50.4,50.65,46.15,47.95,47.25,18384298.0,8804.91
2018-12-06,46.75,47.65,44.4,44.55,44.85,13268774.0,6085.51
2018-12-07,45.95,46.5,43.1,44.4,44.45,13889470.0,6219.22
2018-12-10,42.0,43.75,39.55,39.9,39.9,21824081.0,8934.6
2018-12-11,37.25,42.25,37.2,42.0,41.65,24656308.0,10116.37
2018-12-12,42.05,47.2,42.05,46.35,46.7,27910641.0,12521.01
2018-12-13,47.2,50.5,45.5,46.7,47.15,40448139.0,19509.82
2018-12-14,47.0,47.85,45.75,46.85,46.6,17975886.0,8427.83
2018-12-17,46.9,49.55,46.9,48.35,48.65,21539853.0,10487.91
2018-12-18,48.95,50.8,48.1,48.75,48.95,26753724.0,13232.84
2018-12-19,49.4,49.7,47.55,48.0,48.05,12171546.0,5940.07
2018-12-20,47.95,49.6,47.2,48.4,48.4,13581666.0,6608.8
2018-12-21,50.0,51.4,48.2,49.25,49.1,25489538.0,12698.16
2018-12-24,49.4,49.75,46.9,47.4,47.25,11654416.0,5576.26
2018-12-26,46.7,46.9,44.3,46.0,46.0,17155618.0,7868.07
2018-12-27,47.0,48.0,45.75,47.7,46.9,12671738.0,5893.99
2018-12-28,47.5,48.35,46.7,47.7,47.85,11239352.0,5348.21
2018-12-31,48.05,48.4,47.2,47.35,47.45,7480138.0,3558.53
